Filename,Cluster
Estimating global production and supply costs for green hydrogen and hydrogen-based green energy commodities.pdf,0
"Risk-constrained stochastic scheduling for energy hub_ Integrating renewables, demand response, and electric vehicles.pdf",1
"Data-driven probabilistic machine learning in sustainable smart energy:smart energy systems_Key developments, challenges, and future research opportunities in the context of smart grid paradigm.pdf",1
Enhancing resource efficiency through the utilization of the green bond market_An empirical analysis of Asian economies.pdf,1
Model_Predictive_Current_Control_of_Nine-Phase_Open-End_Winding_PMSMs_With_an_Online_Virtual_Vector_Synthesis_Strategy.pdf,2
Synergies and potential of hybrid solar photovoltaic-thermal desalination technologies.pdf,1
Using electrolytic hydrogen production and energy storage for balancing a low carbon electricity grid_Scenario assessments for India.pdf,1
"Toward fostering environmental innovation in OECD countries-Do fiscal decentralization, carbon pricing, and renewable energy investments matter.pdf",0
Semi-supervised adversarial discriminative learning approach for intelligent fault diagnosis of wind turbine.pdf,0
Polyanion-type electrode materials for advanced sodium-ion batteries.pdf,6
Voltage_Sensorless_Based_Model_Predictive_Control_With_Battery_Management_System_For_Solar_PV_Powered_On-Board_EV_Charging.pdf,2
Fiber Optic Sensing Technologies for Battery Management Systems and Energy Storage Applications.pdf,0
Role of power-to-gas in an integrated gas and electricity system in Great Britain.pdf,0
Potential-Driven Restructuring of Cu Single Atoms to Nanoparticles for Boosting the Electrochemical Reduction of Nitrate to Ammonia.pdf,6
Optimal economic scheduling of microgrids considering renewable energy sources based on energy hub model using demand response and improved water wave optimization algorithm.pdf,1
The economics and the environmental benignity of different colors of hydrogen.pdf,0
Techno-economic evaluation of hydrogen and ammonia as energy carriers in a multi-generation system.pdf,1
Performance_Evaluation_Of_Grid-scale_Battery_Energy_Storage_System_Employing_Virtual_Synchronous_Generator_Control_For_Grid_Code_Compliance_In_Weak_Grids.pdf,2
Research on the evolution of China’s photovoltaic technology innovation network from the perspective of patents.pdf,1
Co doping regulating electronic structure of Bi2MoO6 to construct dual active sites for photocatalytic nitrogen fixation.pdf,5
"Environmental impact of renewable energy source based electrical power plants_Solar, wind, hydroelectric, biomass, geothermal, tidal, ocean, and osmotic.pdf",1
