Filename,Cluster
Estimating global production and supply costs for green hydrogen and hydrogen-based green energy commodities.pdf,1
"Risk-constrained stochastic scheduling for energy hub_ Integrating renewables, demand response, and electric vehicles.pdf",0
"Data-driven probabilistic machine learning in sustainable smart energy:smart energy systems_Key developments, challenges, and future research opportunities in the context of smart grid paradigm.pdf",0
Enhancing resource efficiency through the utilization of the green bond market_An empirical analysis of Asian economies.pdf,4
Model_Predictive_Current_Control_of_Nine-Phase_Open-End_Winding_PMSMs_With_an_Online_Virtual_Vector_Synthesis_Strategy.pdf,2
Synergies and potential of hybrid solar photovoltaic-thermal desalination technologies.pdf,4
Using electrolytic hydrogen production and energy storage for balancing a low carbon electricity grid_Scenario assessments for India.pdf,4
"Toward fostering environmental innovation in OECD countries-Do fiscal decentralization, carbon pricing, and renewable energy investments matter.pdf",5
Semi-supervised adversarial discriminative learning approach for intelligent fault diagnosis of wind turbine.pdf,4
Polyanion-type electrode materials for advanced sodium-ion batteries.pdf,1
Voltage_Sensorless_Based_Model_Predictive_Control_With_Battery_Management_System_For_Solar_PV_Powered_On-Board_EV_Charging.pdf,2
Fiber Optic Sensing Technologies for Battery Management Systems and Energy Storage Applications.pdf,3
Role of power-to-gas in an integrated gas and electricity system in Great Britain.pdf,1
Potential-Driven Restructuring of Cu Single Atoms to Nanoparticles for Boosting the Electrochemical Reduction of Nitrate to Ammonia.pdf,8
Optimal economic scheduling of microgrids considering renewable energy sources based on energy hub model using demand response and improved water wave optimization algorithm.pdf,4
The economics and the environmental benignity of different colors of hydrogen.pdf,1
Techno-economic evaluation of hydrogen and ammonia as energy carriers in a multi-generation system.pdf,4
Performance_Evaluation_Of_Grid-scale_Battery_Energy_Storage_System_Employing_Virtual_Synchronous_Generator_Control_For_Grid_Code_Compliance_In_Weak_Grids.pdf,2
Research on the evolution of China’s photovoltaic technology innovation network from the perspective of patents.pdf,4
Co doping regulating electronic structure of Bi2MoO6 to construct dual active sites for photocatalytic nitrogen fixation.pdf,2
"Environmental impact of renewable energy source based electrical power plants_Solar, wind, hydroelectric, biomass, geothermal, tidal, ocean, and osmotic.pdf",0
Generation of green hydrogen using self-sustained regenerative fuel cells_ Opportunities and challenges.pdf,1
The Impact of Economic Corridor and Tourism on Local Community’s Quality of Life under One Belt One Road Context.pdf,1
Optimal day-ahead large-scale battery dispatch model for multi-regulation participation considering full timescale uncertainties.pdf,4
ERA5_The new champion of wind power modelling?.pdf,1
Photocatalytic H2O2 production Systems_Design strategies and environmental applications.pdf,0
Optimal Prediction Intervals of Wind Power Generation.pdf,2
Applications of Green Synthesized Metal Nanoparticles — a Review.pdf,6
Strategies to save energy in the context of the energy crisis_a review.pdf,6
Recent advancement and assessment of green hydrogen production technologies.pdf,4
Weather Impact on Solar Farm Performance_A Comparative Analysis of Machine Learning Techniques.pdf,3
Utilization of green ammonia as a hydrogen energy carrier for decarbonization in spark ignition engines.pdf,1
Design and investigation of PV string:central architecture for bayesian fusion technique using grey wolf optimization and flower pollination optimized algorithm.pdf,4
A review of carbon dots in synthesis strategy.pdf,4
Highly efficient adsorption and removal bio-staining dye from industrial wastewater onto mesoporous Ag-MOFs.pdf,0
Stochastic coordinated operation of wind and battery energy storage system considering battery degradation.pdf,2
Sodium-Ion Battery Materials and Electrochemical Properties Reviewed.pdf,7
Optimal Grid Flexibility Assessment for Integration of Variable Renewable-Based Electricity Generation.pdf,3
